order_id,customer_name,amount,order_date,status,product
ORD_1001,Priya Patel,1009.37,2026-08-21 07:34:00,completed,Yoga Mat
ORD_1002,Amit Kumar,1226.31,2026-08-21 00:55:00,completed,Desk Lamp
ORD_1003,Anjali Saxena,1512.5,2026-08-21 00:10:00,completed,Standing Desk Mat
ORD_1004,Amit Kumar,339.12,2026-08-20 23:58:00,completed,Mouse Pad
ORD_1005,Karthik Sundaram,1638.78,2026-08-21 04:14:00,completed,Sunglasses
ORD_1006,Suresh Pillai,1548.61,2026-08-21 01:35:00,completed,Standing Desk Mat
ORD_1007,Aakash Jain,296.19,2026-08-20 22:32:00,completed,Notebook Set
ORD_1008,Ritu Bansal,508.89,2026-08-20 17:07:00,completed,Blue T-Shirt
ORD_1009,Vikram Singh,3525.58,2026-08-21 08:35:00,completed,Webcam
ORD_1010,Nikhil Agarwal,738.96,2026-08-20 20:15:00,completed,Watch Strap
ORD_1011,Kavita Nair,306.09,2026-08-21 01:42:00,completed,Mouse Pad
ORD_1012,Pooja Desai,1584.43,2026-08-21 07:55:00,completed,Sunglasses
ORD_1013,Arjun Mehta,291.19,2026-08-21 07:15:00,completed,Phone Case
ORD_1014,Ritu Bansal,1789.64,2026-08-20 23:55:00,completed,Backpack
ORD_1015,Deepika Rao,1264.48,2026-08-20 23:03:00,completed,Power Bank
ORD_1016,Amit Kumar,1534.13,2026-08-20 19:43:00,completed,Wireless Earbuds
ORD_1017,Manish Tiwari,494.83,2026-08-20 20:04:00,completed,Blue T-Shirt
ORD_1018,Arjun Mehta,3470.32,2026-08-20 21:59:00,completed,Webcam
ORD_1019,Anjali Saxena,515.79,2026-08-21 02:59:00,completed,Blue T-Shirt
ORD_1020,Arjun Mehta,249.54,2026-08-20 18:05:00,completed,Notebook Set
ORD_1021,Rajesh Menon,460.19,2026-08-20 21:34:00,completed,Blue T-Shirt
ORD_1022,Shreya Bhat,417.21,2026-08-20 20:22:00,completed,Water Bottle
ORD_1023,Sanjay Verma,466.94,2026-08-21 06:51:00,completed,Blue T-Shirt
ORD_1024,Shreya Bhat,1171.29,2026-08-20 23:25:00,completed,Desk Lamp
ORD_1025,Arjun Mehta,936.7,2026-08-20 22:37:00,completed,Laptop Stand
ORD_1026,Pooja Desai,203.44,2026-08-20 17:33:00,completed,Notebook Set
ORD_1027,Shreya Bhat,199.71,2026-08-21 06:20:00,completed,USB Cable
ORD_1028,Deepika Rao,3532.37,2026-08-21 02:13:00,completed,Webcam
ORD_1029,Shreya Bhat,1477.38,2026-08-21 03:05:00,completed,Wireless Earbuds
ORD_1030,Rajesh Menon,1868.44,2026-08-21 05:31:00,completed,Monitor Light
ORD_1031,Kavita Nair,654.02,2026-08-20 20:29:00,completed,Watch Strap
ORD_1032,Anjali Saxena,1632.06,2026-08-21 07:57:00,completed,Sunglasses
ORD_1033,Deepika Rao,656.75,2026-08-21 00:17:00,completed,Watch Strap
ORD_1034,Rohit Joshi,690.58,2026-08-21 06:24:00,completed,Watch Strap
ORD_1035,Anjali Saxena,3523.75,2026-08-21 00:31:00,completed,Webcam
ORD_1036,Karthik Sundaram,3451.7,2026-08-20 17:05:00,completed,Webcam
ORD_1037,Ritu Bansal,282.49,2026-08-20 17:47:00,completed,Notebook Set
ORD_1038,Vikram Singh,1464.24,2026-08-21 08:42:00,completed,Standing Desk Mat
