order_id,customer_name,amount,order_date,status,product
ORD_1001,Aakash Jain,1332.78,2026-08-21 23:58:00,completed,Power Bank
ORD_1002,Ritu Bansal,1538.01,2026-08-21 06:23:00,completed,Standing Desk Mat
ORD_1003,Karthik Sundaram,1521.31,2026-08-21 03:01:00,completed,Wireless Earbuds
ORD_1004,Aakash Jain,248.18,2026-08-21 00:34:00,completed,USB Cable
ORD_1005,Gaurav Malhotra,294.47,2026-08-21 06:00:00,completed,Notebook Set
ORD_1006,Arjun Mehta,547.53,2026-08-21 08:02:00,completed,Blue T-Shirt
ORD_1007,Gaurav Malhotra,1223.41,2026-08-20 18:48:00,completed,Desk Lamp
ORD_1008,Ananya Reddy,2460.96,2026-08-21 05:27:00,completed,Keyboard
ORD_1009,Sanjay Verma,464.86,2026-08-20 21:21:00,completed,Blue T-Shirt
ORD_1010,Suresh Pillai,403.3,2026-08-20 19:12:00,completed,Coffee Mug
ORD_1011,Anjali Saxena,341.94,2026-08-20 21:50:00,completed,Phone Case
ORD_1012,Rahul Sharma,309.98,2026-08-21 08:21:00,completed,Phone Case
ORD_1013,Ananya Reddy,431.05,2026-08-21 05:51:00,completed,Water Bottle
ORD_1014,Sanjay Verma,2530.98,2026-08-20 18:24:00,completed,Keyboard
ORD_1015,Rajesh Menon,1883.41,2026-08-21 07:32:00,completed,Monitor Light
ORD_1016,Vikram Singh,1348.81,2026-08-21 03:55:00,completed,Power Bank
ORD_1017,Karthik Sundaram,481.06,2026-08-21 00:44:00,completed,Blue T-Shirt
ORD_1018,Divya Kulkarni,2465.59,2026-08-20 23:19:00,completed,Keyboard
ORD_1019,Nikhil Agarwal,439.64,2026-08-20 20:03:00,completed,Coffee Mug
ORD_1020,Rahul Sharma,356.34,2026-08-20 17:26:00,completed,Water Bottle
ORD_1021,Pooja Desai,2515.24,2026-08-21 05:35:00,completed,Keyboard
ORD_1022,Rahul Sharma,1004.18,2026-08-21 07:33:00,completed,Yoga Mat
